Title,DOI,Sample Name,Main Transition Metal Type,Relative Atomic Mass,Atomic Number,Ionization Potential,Electronegativity,Electronic Afiinity,Number of d electrons,Covalent Radius,Second Transition Metal Type,Carbon Material Type,ZIF or MOF Derived,Hard or Soft Templated,Graphene/Carbon Nanosheets or other 2D Structures,Polymer Derived,Carbon Nanofiber/Nanotubes,Carbon Black Derived,Biomass or other Organic Derived,Main Transition Metal Content (wt. %),Second Transition Metal Content (wt. %),Nitrogen Cotent (wt. %),Metal-N Coordination Number (XAS),O Content (wt. %),C Content (wt. %),Pyridinic N Ratio,Pyrrolic N Ratio,Graphitic N Ratio,Oxidized N Ratio,Raman ID/IG Ratio,BET Surface Area (m2/g),Acid Wash,Pyrolysis Temperature (～C),Pyrolysis Time (h),Rising Rate (～C min-1),Product,Electrolyte,Flow Cell/H-type Cell,Electrolyte Concentration (M),Catalyst Loading (mg cm-2),Nafion Membrane,Nafion Membrane Thickness (米m),Electrode Substrate Type,Carbon Paper/Glassy Carbon,Electrode Area cm2,lsv speed (mV/s),Electrolyte pH,FE of Product (CO) at -0.2V (vs.RHE),FE of Product (CO) at -0.3V (vs.RHE),FE of Product (CO) at -0.4V (vs.RHE),FE of Product (CO) at -0.5V (vs.RHE),FE of Product (CO) at -0.6V (vs.RHE),FE of Product (CO) at -0.7V (vs.RHE),FE of Product (CO) at -0.8V (vs.RHE),FE of Product (CO) at -0.9V (vs.RHE),FE of Product (CO) at -1V (vs.RHE),FE of Product (CO) at -1.1V (vs.RHE),FE of Product (CO) at -1.2V (vs.RHE),Partial Current Censity (CO) at -0.2V (vs.RHE),Partial Current Censity (CO) at -0.3V (vs.RHE),Partial Current Censity (CO) at -0.4V (vs.RHE),Partial Current Censity (CO) at -0.5V (vs.RHE),Partial Current Censity (CO) at -0.6V (vs.RHE),Partial Current Censity (CO) at -0.7V (vs.RHE),Partial Current Censity (CO) at -0.8V (vs.RHE),Partial Current Censity (CO) at -0.9V (vs.RHE),Partial Current Censity (CO) at -1.0V (vs.RHE),Partial Current Censity (CO) at -1.1V (vs.RHE),Partial Current Censity (CO) at -1.2V (vs.RHE),Potential for Maximum FE of Product (CO) (vs.RHE),"corresponding overpotential (eV) 灰=E-Eo,COㄛ-0.11 eVㄛFormateㄛ-0.011",Overpotential (V),Maximum FE,Partial Current Density at Maximum FE (mA/cm2),Long-term durability(hㄘ,Long-term durability=FE decrease%/奀潔ㄗhㄘ,TOF Reported (h-1),Tafel Slope
Regulating the coordination environment of Co single atoms for achieving T efficient electrocatalytic activity in CO2 reduction,10.1016/j.apcatb.2018.08.075,Co1-N4,Co,58.93,27,7.81,1.88,63.87,7,126,none,ZIF-derived,1,0,0,0,0,0,0,0.6,0,,4.1,,,52.43,27.22,20.34,0,1.02,,0,800,3,,CO,KHCO3,0,0.1,2,nafion 115,127,carbon paper,1,0.5,5,6.8,,,,30,48,70,82,74,68,,,,,,0.78557,2.68685,6.49407,11.18886,13.06678,15.78089,,,-0.8,-0.69,0.69,82,11.18886,10,0.06,1203,85
Regulating the coordination environment of Co single atoms for achieving T efficient electrocatalytic activity in CO2 reduction,10.1016/j.apcatb.2018.08.075,Co1-N4-xCx,Co,58.93,27,7.81,1.88,63.87,7,126,none,ZIF-derived,1,0,0,0,0,0,0,0.63,0,,4,,,43.16,27.81,29.02,0,0.91,,0,900,3,,CO,KHCO3,0,0.1,2,nafion 115,127,carbon paper,1,0.5,5,6.8,,,,17.5,32,41,44,43,40,,,,,,0.25303,1.39286,3.42493,5.91014,7.83944,8.65227,,,-0.8,-0.69,0.69,44,5.91014,,,684,112
Regulation of Coordination Number over Single Co Sites: Triggering the Efficient Electroreduction of CO2,10.1002/ange.201712451,Co-N2,Co,58.93,27,7.81,1.88,63.87,7,126,none,ZIF-derived,1,0,0,0,0,0,0,0.25,0,15.8146,2.2,,84.6134,,,,,,,0,1000,3,5,CO,KHCO3,0,0.5,0.8,nafion 115,127,carbon paper,1,0.5,5,6.8,,,,71.38914,93.64125,89.0106,78.96676,68.92292,,,,,,,6.213203883,15.04556438,22.37843088,27.56493481,,,,,-0.68,-0.57,0.57,95,15.04556438,60,0.01,23200,
Regulation of Coordination Number over Single Co Sites: Triggering the Efficient Electroreduction of CO2,10.1002/ange.201712451,Co-N3,Co,58.93,27,7.81,1.88,63.87,7,126,none,ZIF-derived,1,0,0,0,0,0,0,0.25,0,15.7266,3.1,,84.5234,,,,,,,0,900,3,5,CO,KHCO3,0,0.5,0.8,nafion 115,127,carbon paper,1,0.5,5,6.8,,,,50.99178,60.29037,45.02993,33.20357,21.37721,,,,,,,0.486512573,1.136648317,1.460748414,1.711481336,,,,,-0.53,-0.42,0.42,63,0.486512573,,,888,
Regulation of Coordination Number over Single Co Sites: Triggering the Efficient Electroreduction of CO2,10.1002/ange.201712451,Co-NPs,Co,58.93,27,7.81,1.88,63.87,7,126,none,ZIF-derived,1,0,0,0,0,0,0,0.25,0,,11.2,,,,,,,,,1,900,3,5,CO,KHCO3,0,0.5,0.8,nafion 115,127,carbon paper,1,0.5,5,6.8,,,,4.61131,4.37596,3.46214,2.11307,0.764,,,,,,,0.109842326,0.231685202,0.311377255,0.281320616,,,,,-0.62,-0.51,0.51,5.9,0.231685202,,,,
"Scalable strategy to fabricate single Cu atoms coordinated carbons for
efficient electroreduction of CO2 to CO",10.1016/j.carbon.2020.06.088,Cu SAs/NC,Cu,63.546,29,7.69,1.9,119.16,10,138,none,chitosan derived porous carbon,0,0,0,0,0,0,1,0.32,0,4.248554465,4,10.7,84.04692866,46.378,48.64,0,4.98,1.02,610.1,1,900,1,5,CO,KHCO3,0,0.1,0.8,nafion 212,50,carbon paper,1,1,20,6.8,,,,74.30662,87.46025,91.92573,84.34569,72.37238,49.90205,,,,,,1.071754103,2.142776125,3.393806026,4.402887191,5.173134299,4.469407245,,,-0.7,-0.59,0.59,92,3.393806026,60,0.01,,115
"Scalable strategy to fabricate single Cu atoms coordinated carbons for
efficient electroreduction of CO2 to CO",10.1016/j.carbon.2020.06.088,Cu NPs/NC,Cu,63.546,29,7.69,1.9,119.16,10,138,none,chitosan derived porous carbon,0,0,0,0,0,0,1,4.17,0,5.1,12,14,61.89261374,39.65,46.81,0,13.53,0.98,40.1,1,900,1,5,CO,KHCO3,0,0.1,0.8,nafion 212,50,carbon paper,1,1,20,6.8,,,,18.10743,23.77843,20.76052,17.17884,9.2527,3.78067,,,,,,0.141136552,0.327514583,0.440702243,0.508744475,0.361940642,0.192331378,,,-0.6,-0.49,0.49,23.77843,0.327514583,,,,151
"Scalable strategy to fabricate single Cu atoms coordinated carbons for
efficient electroreduction of CO2 to CO",10.1016/j.carbon.2020.06.088,NC,none,0,0,0,0,0,0,0,none,chitosan derived porous carbon,0,0,0,0,0,0,1,0,0,1.64,0,,88.80290695,11.27,70.96,0,17.77,0.88,1450.3,1,900,1,5,CO,KHCO3,0,0.1,0.8,nafion 212,50,carbon paper,1,1,20,6.8,,,,32.81474,16.57111,7.99081,4.68314,3.53692,1.67021,,,,,,0.072409005,0.057055989,0.034958995,0.039295291,0.051704111,0.040693163,,,-0.5,-0.39,0.39,32.81474,0.072409005,,,,163
"Ionic Exchange of Metal?Organic Frameworks to Access Single
Nickel Sites for Efficient Electroreduction of CO2",10.1021/jacs.7b02736,Ni SAs/N-C,Ni,58.693,28,7.61,1.91,111.54,8,121,none,ZIF-derived,1,0,0,0,0,0,0,1.53,0,,3.2,,,34.77,8.53,56.69,0,0.98,,1,1000,2,10,CO,KHCO3,0,0.5,0.2,nafion 115,127,carbon paper,1,1,10,7.2,,,,40.10058,47.50606,54.91154,62.31702,71.7441,69.93529,46.67615,30.56711,,,,,,1.439676247,3.723653823,6.940782513,9.348585904,8.030202187,6.135460886,-1,-0.89,0.89,71.9,6.940782513,60,0.01,5273,249
Isolated Ni single atoms in graphene nanosheetsfor high-performance CO2 reduction,10.1039/c7ee03245e,Ni-NG,Ni,58.693,28,7.61,1.91,111.54,8,121,none,graphne,0,0,1,0,0,0,0,2.013,0,7.33,4,4.1,86.51,,,,,,,0,750,3,,CO,KHCO3,0,0.5,0.2,nafion 117,177.8,glassy carbon,0,2,,7.2,,,10.42724,42.49455,86.04744,97.56943,88.18913,51.83607,,,,,,0.24334,0.33302,7.81596,7.81596,12.29734,12.29734,,,,-0.66,-0.55,0.55,95,5.1,20,,,110
Isolated Ni single atoms in graphene nanosheetsfor high-performance CO2 reduction,10.1039/c7ee03245e,Ni-NG,Ni,58.693,28,7.61,1.91,111.54,8,121,none,graphne,0,0,1,0,0,0,0,2.013,0,7.33,4,4.1,86.51,,,,,,,0,750,3,,CO,KHCO3,0,0.5,1,nafion 117,177.8,carbon paper,1,2,,7.2,,,9.65176,43.55469,86.85168,96.73776,88.11445,52.89588,,,,,,0.18139,0.4835,2.62062,8.22335,12.09525,12.4154,,,,-0.73,-0.62,0.62,97.63,10.31055,,,,
Isolated Ni single atoms in graphene nanosheetsfor high-performance CO2 reduction,10.1039/c7ee03245e,Mn-NG,Mn,54.938,25,7.4,1.55,0,5,139,none,graphne,0,0,1,0,0,0,0,1.90887931,0,7.33,4,4.1,86.63158,,,,,,,0,750,3,,CO,KHCO3,0,0.5,0.2,nafion 117,177.8,glassy carbon,0,2,,7.2,,,13.31581,16.44704,10.83632,5.35867,1.98565,0.1773,,,,,,0.012752551,0.019382837,0.034873445,0.068597942,0.059217444,0.018934381,,,,-0.51,-0.4,0.4,16.88,0.019382837,,,,110
Isolated Ni single atoms in graphene nanosheetsfor high-performance CO2 reduction,10.1039/c7ee03245e,Cu-NG,Cu,63.546,29,7.69,1.9,119.16,10,138,none,graphne,0,0,1,0,0,0,0,2.221241379,0,7.33,4,4.1,86.31921793,,,,,,,0,750,3,,CO,KHCO3,0,0.5,0.2,nafion 117,177.8,glassy carbon,0,2,,7.2,,,4.36138,8.61124,9.53392,5.33303,4.37532,3.00437,,,,,,0.005182628,0.010232736,0.041798612,0.055098199,0.183453667,0.445769794,,,,-0.61,-0.5,0.5,9.58,0.041798612,,,,110
Isolated Ni single atoms in graphene nanosheetsfor high-performance CO2 reduction,10.1039/c7ee03245e,Fe-NG,Fe,55.845,26,7.83,1.83,14.57,6,125,none,graphne,0,0,1,0,0,0,0,1.943586207,0,7.33,4,4.1,86.5968731,,,,,,,0,750,3,,CO,KHCO3,0,0.5,0.2,nafion 117,177.8,glassy carbon,0,2,,7.2,,,28.03605,22.7493,12.42225,6.05696,2.68055,0.01,,,,,,0.124309042,0.272418318,0.394708298,0.414998671,0.335014871,,,,,-0.41,-0.3,0.3,29.6,0.124309042,,,,110
"Selective CO2 Reduction to CO in Water using Earth-Abundant Metal
and Nitrogen-Doped Carbon Electrocatalysts",10.1021/acscatal.8b01022,N-C,none,0,0,0,0,0,0,0,none,SiO2 nanoparticle templated hollw spheres,0,1,0,0,0,0,0,0,0,2.792052919,0,,92.61455914,20.83,11.16,51.24,16.77,,807,0,1000,1,,CO,KHCO3,0,0.5,0.5,nafion 117,177.8,glassy carbon,0,2,10,7.2,,,,68.43525,86.67787,68.43525,50.19263,31.95001,,,,,,,0.44212,0.8758,1.32074,,,,,,-0.6,-0.49,0.49,87,0.8758,,,,270
"Selective CO2 Reduction to CO in Water using Earth-Abundant Metal
and Nitrogen-Doped Carbon Electrocatalysts",10.1021/acscatal.8b01022,Fe-N-C,Fe,55.845,26,7.83,1.83,14.57,6,125,none,SiO2 nanoparticle templated hollw spheres,0,1,0,0,0,0,0,0.4,0,3.770429861,4,6.4,89.4502878,24.1,16.53,38.8,20.57,,742,1,1000,1,,CO,KHCO3,0,0.5,0.5,nafion 117,177.8,glassy carbon,0,2,10,7.2,,,74.52983,82.99815,77.73628,65.1124,52.48852,39.86464,,,,,,0.5002,1.58902,3.26633,4.14411,,,,,,-0.47,-0.36,0.36,84.7,1.219,,,,194
"Selective CO2 Reduction to CO in Water using Earth-Abundant Metal
and Nitrogen-Doped Carbon Electrocatalysts",10.1021/acscatal.8b01022,Co-N-C,Co,58.93,27,7.81,1.88,63.87,7,126,none,SiO2 nanoparticle templated hollw spheres,0,1,0,0,0,0,0,0.35,0,3.773592546,4,5.9,89.9175447,20.39,19.1,39.61,20.9,,559,1,1000,1,,CO,KHCO3,0,0.5,0.5,nafion 117,177.8,glassy carbon,0,2,10,7.2,,,10.40069,12.67698,14.65585,15.86896,14.65585,13.44274,,,,,,0.21207,0.56788,1.01424,1.68154,,,,,,-0.77,-0.66,0.66,18,2.14865,,,,
"Selective CO2 Reduction to CO in Water using Earth-Abundant Metal
and Nitrogen-Doped Carbon Electrocatalysts",10.1021/acscatal.8b01022,Ni-N-C,Ni,58.693,28,7.61,1.91,111.54,8,121,none,SiO2 nanoparticle templated hollw spheres,0,1,0,0,0,0,0,0.24,0,3.686837297,4,9.9,85.95225694,19.87,17.74,45.67,16.72,,680,1,1000,1,,CO,KHCO3,0,0.5,0.5,nafion 117,177.8,glassy carbon,0,2,10,7.2,,,,67.88214,88.40984,92.53077,91.73952,88.44652,,,,,,,0.43732,2.00833,4.50946,6.89945,8.8251,,,,-0.668,-0.558,0.558,92.71,3.61185,,0.6975,,119
Semi-sacrificial template synthesis of single-atom Ni sites supported on hollow carbon nanospheres for efficient and stable electrochemical CO2 reduction,10.1039/c9qi01688k,SA-Ni/N-CS,Ni,58.693,28,7.61,1.91,111.54,8,121,none,SiO2 nanoparticle templated hollw spheres,0,1,0,0,0,0,0,1.08,0,,3.7,,,12.94,24.29,32.64,30.13,1.01,405.6,1,800,3,5,CO,KHCO3,0,0.5,0.5,nafion 115,127,carbon paper,1,1,10,7.2,,,,38.89694,91.63244,91.63244,95.44036,93.93363,88.5642,81.3045,,,,,0.971824487,3.393873149,5.06170268,8.12465651,11.68457332,15.0020404,18.34329525,0,-0.8,-0.69,0.69,95.44036,8.12465651,24,0.01,,147
Single Ni atoms with higher positive charges induced by hydroxyls for electrocatalytic CO2 reduction,10.1039/d0nr04391e,H-Ni/NC,Ni,58.693,28,7.61,1.91,111.54,8,121,none,sodium citrate derived amourphous carbon,0,0,0,0,0,0,1,1.79,0,7.03542074,4.2,9.7,80.7534908,53,42.6,4.4,0,1.23,,1,800,2,10,CO,KHCO3,0,0.5,1,not mentioned,177.8,carbon paper,1,1,10,7.2,,,,87.87121,90.91879,96.83909,91.86804,87.74631,76.5552,59.71857,,,,,1.10729,3.20883,7.222,9.29877,12.58526,13.79087,13.24587,,-0.7,-0.59,0.59,96.83909,7.222,,,,83
Single Ni atoms with higher positive charges induced by hydroxyls for electrocatalytic CO2 reduction,10.1039/d0nr04391e,Ni/NC,Ni,58.693,28,7.61,1.91,111.54,8,121,none,sodium citrate derived amourphous carbon,0,0,0,0,0,0,1,1.57,0,7.578526301,3.7,6.6,82.29966668,78.1,16.9,5,0,1.09,,1,800,2,10,CO,KHCO3,0,0.5,1,not mentioned,177.8,carbon paper,1,1,10,7.2,,,,62.46638,73.50762,71.73402,62.61626,51.02547,37.761,25.77052,,,,,0.76873,2.56887,5.2856,6.33431,7.26741,6.76783,5.69435,,-0.6,-0.49,0.49,73.50762,2.56887,,,,92
Single Ni atoms with higher positive charges induced by hydroxyls for electrocatalytic CO2 reduction,10.1039/d0nr04391e,H-NC,none,0,0,0,0,0,0,0,none,sodium citrate derived amourphous carbon,0,0,0,0,0,0,1,0,0,5.586508603,0,6.6,87.83756102,,,,,,,0,800,2,10,CO,KHCO3,0,0.5,1,not mentioned,177.8,carbon paper,1,1,10,7.2,,,,77.8042,63.71539,55.99652,34.03896,27.84388,10.15792,7.4101,,,,,0.4921,0.81415,1.56558,1.58623,2.20554,1.20225,1.31373,,-0.5,-0.39,0.39,77.8042,0.4921,,,,129
Single Ni atoms with higher positive charges induced by hydroxyls for electrocatalytic CO2 reduction,10.1039/d0nr04391e,NC,none,0,0,0,0,0,0,0,none,sodium citrate derived amourphous carbon,0,0,0,0,0,0,1,0,0,6.037704796,0,4.4,89.57370591,,,,,,,1,800,2,10,CO,KHCO3,0,0.5,1,not mentioned,177.8,carbon paper,1,1,10,7.2,,,,7.26022,12.93072,7.26022,3.2634,2.16427,0.91526,,,,,,0.08335,0.31044,0.31044,0.26502,0.26502,0.19483,,,-0.6,-0.49,0.49,12.93072,0.31044,,,,174
"Single Sb sites for efficient electrochemical CO2
reduction",10.1039/c9cc06178a,Sb_NC,Sb,121.76,51,8.35,2.05,100.92,10,138,none,carbon black derived,0,0,0,0,0,1,0,0.03,0,,4,,,64.19,17.05,12.19,6.57,,33.6,1,800,2,,CO,KHCO3,0,0.1,1,nafion 117,177.8,carbon paper,1,1,5,6.8,,,,53.85865,57.88775,61.91685,77.83742,82.62199,52.31974,26.18651,12.44837,,,,,0.483802659,0.696168295,1.140652904,1.432954484,1.537849814,1.26677504,1.325921948,-0.9,-0.79,0.79,82.62199,1.140652904,24,0.01,16580,113
"Single-Atom Iron-Nitrogen Catalytic Site with Graphitic
Nitrogen for Efficient Electroreduction of CO2",10.1002/slct.201904529,Fe-SA-NCs-700,Fe,55.845,26,7.83,1.83,14.57,6,125,none,carbon nanosheets,0,0,1,0,0,0,0,3.899049689,0,9.036229985,4,8.5,74.56406569,55.4,23.6,15.8,5.2,1.04,,0,700,2,2,CO,KHCO3,0,0.5,2.5,nafion 117,177.8,carbon paper,1,1,10,7.65,,,67.69897,84.82634,78.12473,70.77682,58.08092,38.47577,,,,,,0.853920958,2.669391611,4.151938776,5.829589401,6.563899012,5.768829947,,,,-0.45527,-0.34527,0.34527,86.84755,1.596,,,,67
"Single-Atom Iron-Nitrogen Catalytic Site with Graphitic
Nitrogen for Efficient Electroreduction of CO2",10.1002/slct.201904529,Fe-SA-NCs-800,Fe,55.845,26,7.83,1.83,14.57,6,125,none,carbon nanosheets,0,0,1,0,0,0,0,2.157810922,0,4.935546221,4,9.7,81.64441925,37.2,21.4,32.2,9.1,0.99,,0,800,2,2,CO,KHCO3,0,0.5,2.5,nafion 117,177.8,carbon paper,1,1,10,7.65,,,70.65172,78.59643,71.48235,64.07119,51.10901,34.08359,,,,,,0.3532586,1.647805594,2.90740877,4.268614891,5.026121374,4.455979489,,,,-0.45614,-0.34614,0.34614,81.11444,0.9292,,,,81
"Single-Atom Iron-Nitrogen Catalytic Site with Graphitic
Nitrogen for Efficient Electroreduction of CO2",10.1002/slct.201904529,Fe-SA-NCs-900,Fe,55.845,26,7.83,1.83,14.57,6,125,none,carbon nanosheets,0,0,1,0,0,0,0,0.047765564,0,6.499302535,4,11.9,79.55624836,38,18.9,31.7,11.4,0.97,,0,900,2,2,CO,KHCO3,0,0.5,2.5,nafion 117,177.8,carbon paper,1,1,10,7.65,,,76.23273,79.143,67.641,52.26275,34.62044,22.87596,,,,,,0.476782363,1.163797815,2.218557159,2.936842521,2.786827711,2.578900762,,,,-0.45772,-0.34772,0.34772,83.65753,0.5973,,,,89
"Single-atom-Ni-decorated, nitrogen-doped carbon layers for efficient electrocatalytic CO2 reduction reaction",10.1016/j.elecom.2020.106758,SA-Ni@NC,Ni,58.693,28,7.61,1.91,111.54,8,121,none,ZIF-derived,1,0,0,0,0,0,0,1.61,0,,3.3,,,18.3,11.21,61.65,8.18,,,1,1000,3,10,CO,KHCO3,0,0.1,,nafion 115,127,glassy carbon,0,4,10,6.8,,20.21024,39.29865,67.76384,85.25511,70.59747,58.79924,45.12049,39.01529,,,,0.080351872,0.256034635,0.587871641,1.189820315,1.498275986,2.257443942,2.872320761,3.938913451,,,-0.6,-0.49,0.49,85.25511,1.189820315,10,0.01,,
"Single-atom-Ni-decorated, nitrogen-doped carbon layers for efficient electrocatalytic CO2 reduction reaction",10.1016/j.elecom.2020.106758,SA-Ni-2@NC,Ni,58.693,28,7.61,1.91,111.54,8,121,none,ZIF-derived,1,0,0,0,0,0,0,3.22,0,,3.2,,,18.3,11.21,61.65,8.18,,,1,1000,3,10,CO,KHCO3,0,0.1,,nafion 115,127,glassy carbon,0,4,10,6.8,,38.27756,54.66353,78.30094,97.38512,79.73436,63.17974,49.1547,40.80712,,,,,,,,,,,,,,-0.6,-0.49,0.49,97.38512,,,,,
"Size-Dependent Nickel-Based Electrocatalysts for Selective CO2
Reduction",10.1002/anie.202000318,Ni SAs/N-C,Ni,58.693,28,7.61,1.91,111.54,8,121,none,ZIF-derived,1,0,0,0,0,0,0,1.64,0,29.07,4,,57.6,46.79,27.52,14.73,10.95,,,1,1000,2,5,CO,KHCO3,0,0.5,,not mentioned,177.8,carbon paper,1,,5,7,,,,47.33116,68.02201,88.71286,97.07242,94.27329,89.99894,71.72897,,,,,,1.19784,3.34287,6.48211,9.0221,10.65982,10.09462,,-0.8,-0.69,0.69,97.07242,6.48211,24,0.01,4001,
"Size-Dependent Nickel-Based Electrocatalysts for Selective CO2
Reduction",10.1002/anie.202000318,4.1 Ni NPs,Ni,58.693,28,7.61,1.91,111.54,8,121,none,ZIF-derived,1,0,0,0,0,0,0,13.12,0,,12,,46.12,46.79,27.52,14.73,10.95,,,1,1000,2,5,CO,KHCO3,0,0.5,,not mentioned,177.8,carbon paper,1,,5,7,,,,7.52334,37.46368,67.40402,93.35707,85.98768,82.7836,63.63033,,,,,,0.23084,0.64644,2.00945,3.62956,5.54553,5.74276,,-0.8,-0.69,0.69,93.35707,2.00945,,,628,
"Size-Dependent Nickel-Based Electrocatalysts for Selective CO2
Reduction",10.1002/anie.202000318,14.3 Ni NPs,Ni,58.693,28,7.61,1.91,111.54,8,121,none,ZIF-derived,1,0,0,0,0,0,0,32.8,0,,12,,26.44,46.79,27.52,14.73,10.95,,,1,1000,2,5,CO,KHCO3,0,0.5,,not mentioned,177.8,carbon paper,1,,5,7,,,,6.52652,15.71154,24.89656,46.86231,61.63668,58.04099,46.86231,,,,,,0.09348,0.21323,0.82606,1.8897,2.87938,3.37246,,-0.9,-0.79,0.79,61.63668,1.8897,,,423.6,
"Size-Dependent Nickel-Based Electrocatalysts for Selective CO2
Reduction",10.1002/anie.202000318,37.2 Ni NPs,Ni,58.693,28,7.61,1.91,111.54,8,121,none,ZIF-derived,1,0,0,0,0,0,0,52.48,0,,12,,6.76,46.79,27.52,14.73,10.95,,,1,1000,2,5,CO,KHCO3,0,0.5,,not mentioned,177.8,carbon paper,1,,5,7,,,,5.70769,12.50746,19.30723,25.50178,29.27547,18.0968,7.52333,,,,,,0.03361,0.1921,0.4492,1.06203,1.02329,0.56895,,-0.9,-0.79,0.79,29.27547,1.06203,,,81.74,
"Solid-Diffusion Synthesis of Single-Atom
Catalysts Directly from Bulk Metal for Efficient
CO2 Reduction",10.1016/j.joule.2018.11.008,H-CP,Ni,58.693,28,7.61,1.91,111.54,8,121,none,carbon nanotube,0,0,0,0,1,0,0,2.14,0,,4,,,55.02691439,8.942524744,18.7011634,17.32939746,0.92,143.97,1,1000,2,10,CO,KHCO3,0,0.5,,nafion 115,127,carbon paper,1,,5,7.2,,,,32.04279,75.108,92.66978,93.92241,94.07272,95.85145,92.8201,90.74074,,,,1.222525363,8.312472749,18.87469351,28.1606247,36.35671683,46.34490455,53.79439018,67.71093074,-1,-0.89,0.89,95.85145,46.34490455,40,0.01,,105
"Solid-Diffusion Synthesis of Single-Atom
Catalysts Directly from Bulk Metal for Efficient
CO2 Reduction",10.1016/j.joule.2018.11.008,F-CP,Ni,58.693,28,7.61,1.91,111.54,8,121,none,carbon nanotube,0,0,0,0,1,0,0,2.14,0,,4,,,56.95692026,13.73052246,23.72135655,5.591200733,0.91,113.21,0,1000,2,10,CO,KHCO3,0,0.5,,nafion 115,127,carbon paper,1,,5,7.2,,,,30.23901,68.0432,75.108,83.67594,85.63004,78.56524,39.53348,18.61467,,,,1.096451383,6.189114212,11.17484614,17.78290281,24.87395959,29.3448478,18.53944288,12.77980862,-0.9,-0.79,0.79,85.63004,24.87395959,40,0.01,,136
"Surface Immobilization of Transition Metal Ions
on Nitrogen-Doped Graphene Realizing High-Efficient
and Selective CO2 Reduction",10.1002/adma.201706617,Ni2+@NG,Ni,58.693,28,7.61,1.91,111.54,8,121,none,graphne,0,0,1,0,0,0,0,0.8,0,5.82,4,,,28.2,9.1,56.6,6.1,1.14,204,0,1000,1,5,CO,KHCO3,0,0.5,0.3,,177.8,glassy carbon,0,,20,7.2,,,20.71235,45.00973,71.56698,91.43461,88.1407,84.84679,,,,,,0.200727526,0.830555546,3.676689187,11.44509872,20.1421243,,,,,-0.68,-0.57,0.57,91.81,9.793,,,,142
"Surface Immobilization of Transition Metal Ions
on Nitrogen-Doped Graphene Realizing High-Efficient
and Selective CO2 Reduction",10.1002/adma.201706617,NG,none,0,0,0,0,0,0,0,none,graphne,0,0,1,0,0,0,0,0,0,6.13,0,,,27.5,9.8,55.6,7.1,1.13,215,0,1000,1,5,CO,KHCO3,0,0.5,0.3,,177.8,glassy carbon,0,,20,7.2,,,18.56869,43.61699,53.29024,42.66713,36.35129,30.03545,,,,,,0.182054864,0.515674949,1.008102128,1.20514162,1.910754667,,,,,-0.76,-0.65,0.65,56,2.2176,,,,176
"Tris(2-benzimidazolylmethyl)amine-Directed Synthesis of SingleAtom Nickel Catalysts for Electrochemical CO Production from
CO2",10.1002/chem.201803615,Ni-N-RGO,Ni,58.693,28,7.61,1.91,111.54,8,121,none,graphne,0,0,1,0,0,0,0,1.826387217,0,5.92,3.4,4.3,89.4,44.61917052,29.42200348,21.6073465,4.351479503,,,0,800,1,20,CO,KHCO3,0,0.5,0.2,nafion 117,177.8,carbon paper,1,0.25,,7.2,,,69.51356,79.55611,88.58101,94.07093,97.31133,96.72217,94.49942,88.28643,71.87021,,,,0.20084,3.42741,11.72621,22.50801,33.36947,42.09317,43.85915,34.90973,-0.8,-0.69,0.69,97.31133,22.50801,,,,97
"Tris(2-benzimidazolylmethyl)amine-Directed Synthesis of SingleAtom Nickel Catalysts for Electrochemical CO Production from
CO2",10.1002/chem.201803615,Fe-N-RGO,Fe,55.845,26,7.83,1.83,14.57,6,125,none,graphne,0,0,1,0,0,0,0,1.782184718,0,5.814259386,3,,86.00317422,38.95363026,25.22727273,24.26479561,11.5543014,,,0,800,1,20,CO,KHCO3,0,0.5,0.2,nafion 117,177.8,carbon paper,1,0.25,,7.2,,,26.47939,32.37138,22.50696,12.18932,7.92363,4.831,2.91144,2.32491,1.57841,,,,0.28051,0.57263,0.78508,1.0108,0.93114,0.86475,0.63902,0.49296,-0.5,-0.39,0.39,32.37138,0.28051,,,,
"Tris(2-benzimidazolylmethyl)amine-Directed Synthesis of SingleAtom Nickel Catalysts for Electrochemical CO Production from
CO2",10.1002/chem.201803615,Co-N-RGO,Co,58.93,27,7.81,1.88,63.87,7,126,none,graphne,0,0,1,0,0,0,0,1.883446736,0,6.604098759,3,,84.73271773,45.24570238,25.79440875,23.69855878,5.261330092,,,0,800,1,20,CO,KHCO3,0,0.5,0.2,nafion 117,177.8,carbon paper,1,0.25,,7.2,,,1.73838,2.61818,3.79124,5.25757,4.96431,3.95121,4.24447,2.77814,2.45821,,,,0,0.63902,1.44898,2.17928,2.17928,2.77679,2.03322,1.82077,-0.7,-0.59,0.59,5.25757,1.44898,,,,
Understanding activity and selectivity of metal-nitrogen-doped carbon catalysts for electrochemical reduction of CO2,10.1038/s41467-017-01035-z,Mn-N-C,Mn,54.938,25,7.4,1.55,0,5,139,none,"4,4∩-Dipyridyl hydrate (bipy) polymer derived amorphous carbon",0,0,0,1,0,0,0,0.44,0,8.2,4,,,38,43.9,10.3,5,1.7,938,1,900,2,2,CO,KHCO3,0,0.1,0.76,not mentioned,177.8,glassy carbon,0,,5,6.8,,,19.63447,34.32968,38.78376,30.98033,23.1769,15.37347,,,,,,0.45128,1.52923,2.96581,4.75003,,,,,,-0.566,-0.456,0.456,40.2815,2.45035,,,,
